City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
402,Victoria,HK,54.32,overcast clouds,22.2855,114.1577,Mini Hotel Central
403,Carutapera,BR,76.19,overcast clouds,-1.195,-46.02,Lidera
406,Ballina,AU,67.78,light rain,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
407,Kabo,CF,74.08,broken clouds,7.6994,18.629,
408,Nioro,GM,81.09,clear sky,13.35,-15.75,
410,Doha,QA,62.91,clear sky,25.2867,51.5333,Movenpick Hotel Doha
411,Polis,CY,51.62,overcast clouds,35.0367,32.4264,Marion
412,Morristown,US,57.9,scattered clouds,36.214,-83.2949,Days Inn by Wyndham Morristown
413,Bosaso,SO,72.61,clear sky,11.2842,49.1816,Red Sea Hotel
414,Puerto Escondido,MX,85.03,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
416,Ahipara,NZ,74.26,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
417,Sao Sebastiao,BR,75.81,overcast clouds,-23.76,-45.4097,Hotel Recanto dos Pássaros
419,Port Augusta,AU,65.71,clear sky,-32.5,137.7667,Majestic Oasis Apartments
420,Ancud,CL,65.23,light rain,-41.8697,-73.8203,Hotel Arena Gruesa
421,Vredendal,ZA,64.6,clear sky,-31.6683,18.5012,Tharrakamma Guest House
423,Benguela,AO,75.33,broken clouds,-12.5763,13.4055,Hotel Praia Morena
425,Araceli,PH,79.7,scattered clouds,10.5529,119.9913,JBryan Traveler's Inn
426,Coos Bay,US,55.85,clear sky,43.3665,-124.2179,Best Western Holiday Hotel
427,Port-Gentil,GA,80.17,scattered clouds,-0.7193,8.7815,Fengshui Residence
428,Pacific Grove,US,66.29,clear sky,36.6177,-121.9166,Lovers Point Inn
429,Jiazi,CN,54.03,overcast clouds,22.8779,116.067,Hotel Jin Hao
430,Port Hardy,CA,43.75,light intensity drizzle,50.6996,-127.4199,Airport Inn-Port Hardy
431,Mamedkala,RU,43.74,overcast clouds,42.1677,48.1199,Igry Frifayer
433,Barahona,DO,82.22,scattered clouds,18.2085,-71.1008,Hotel Caribe
435,Kavieng,PG,81.46,light rain,-2.5744,150.7967,Nusa Island Retreat
436,Muli,MV,81.09,broken clouds,2.9167,73.5667,Medhufushi Island Resort
438,Ndago,TZ,62.08,light rain,-4.6,34.35,
439,Libertador General San Martin,AR,75.36,overcast clouds,-23.8064,-64.7876,Posada del Sol
440,Takoradi,GH,80.24,clear sky,4.8845,-1.7554,Raybow International Hotel
441,Cristalina,BR,67.23,broken clouds,-16.7686,-47.6136,HOTEL TOPAZIO
442,Tautira,PF,87.82,few clouds,-17.7333,-149.15,Pension Oaoa
443,Plouzane,FR,46.72,overcast clouds,48.3833,-4.6167,Lymina
445,San Cristobal,VE,78.98,broken clouds,7.7669,-72.225,Posada Villaven C.A.
446,Ipameri,BR,73.17,broken clouds,-17.7219,-48.1597,Real Hotel
449,Sechura,PE,80.67,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
450,Prinos,GR,43.72,clear sky,40.75,24.5833,Ξενοδοχείο Βλαχογιάννης
